iter	Passed	Remaining
246	514	1568
247	515	1563
248	516	1559
249	518	1554
250	519	1550
251	520	1545
252	522	1542
253	523	1538
254	525	1534
255	526	1529
256	527	1525
257	528	1521
258	530	1518
259	532	1514
260	533	1510
261	534	1506
262	536	1502
263	537	1498
264	539	1495
265	540	1491
266	541	1487
267	543	1483
268	544	1479
269	546	1476
270	547	1472
271	549	1471
272	550	1467
273	552	1463
274	554	1461
275	555	1457
276	557	1454
277	558	1450
278	559	1446
279	561	1442
280	562	1438
281	563	1434
282	564	1431
283	566	1427
284	567	1423
285	569	1420
286	570	1417
287	571	1413
288	573	1410
289	575	1407
290	576	1405
291	578	1401
292	579	1398
293	580	1394
294	581	1390
295	583	1387
296	585	1385
297	586	1382
298	588	1378
299	589	1375
300	590	1371
301	592	1368
302	593	1364
303	594	1361
304	595	1357
305	597	1354
306	598	1350
307	600	1349
308	601	1345
309	603	1342
310	604	1339
311	606	1337
312	608	1334
313	609	1331
314	610	1327
315	611	1324
316	613	1320
317	614	1317
318	616	1316
319	617	1312
320	619	1309
321	620	1306
322	621	1303
323	623	1300
324	624	1296
325	625	1293
326	626	1290
327	628	1287
328	629	1283
329	631	1281
330	632	1278
331	633	1275
332	635	1272
333	636	1269
334	637	1265
335	638	1262
336	640	1260
337	641	1256
338	643	1253
339	644	1250
340	645	1247
341	647	1246
342	649	1243
343	650	1240
344	651	1237
345	652	1234
346	654	1231
347	655	1228
348	656	1225
349	658	1222
350	659	1218
351	660	1215
352	662	1214
353	664	1212
354	665	1209
355	666	1206
356	668	1203
357	669	1200
358	670	1197
359	671	1194
360	673	1191
361	674	1188
362	675	1185
363	677	1183
364	679	1181
365	680	1178
366	681	1175
367	682	1172
368	684	1170
369	685	1167
370	686	1164
371	688	1161
372	689	1158
373	690	1156
374	692	1153
375	693	1151
376	695	1148
377	696	1146
378	697	1143
379	699	1140
380	700	1138
381	701	1135
382	702	1132
383	704	1129
384	705	1127
385	706	1124
386	708	1121
387	710	1120
388	711	1117
389	712	1114
390	713	1112
391	715	1109
392	716	1106
393	717	1104
394	719	1101
395	720	1098
396	722	1097
397	724	1096
398	726	1094
399	727	1091
400	728	1088
401	730	1086
402	731	1083
403	732	1081
404	734	1078
405	735	1075
406	736	1073
407	737	1070
408	739	1068
409	741	1066
410	742	1064
411	743	1061
412	745	1059
413	746	1056
414	747	1054
415	748	1051
416	750	1049
417	751	1046
418	753	1044
419	754	1041
420	756	1040
421	757	1037
422	758	1035
423	760	1032
424	761	1030
425	762	1027
426	764	1025
427	765	1023
428	767	1021
429	768	1018
430	769	1016
431	771	1014
432	773	1012
433	774	1009
434	775	1007
435	777	1005
436	779	1003
437	780	1001
438	781	998
439	782	996
440	784	994
441	785	991
442	787	990
443	788	987
444	790	985
445	791	983
446	792	980
447	794	978
448	795	976
449	796	973
450	797	971
451	799	969
452	800	966
453	801	964
454	803	962
455	804	960
456	806	957
457	807	955
458	808	953
459	810	950
460	811	948
461	812	946
462	813	944
463	815	941
464	816	939
465	818	937
466	819	935
467	821	933
468	822	931
469	823	929
470	825	926
471	826	924
472	827	922
473	829	920
474	830	917
475	831	915
476	833	913
477	834	911
478	836	909
479	837	907
480	838	904
481	839	902
482	841	900
483	842	898
484	843	896
485	845	893
486	846	891
487	847	889
488	849	887
489	850	885
490	852	883
491	853	881
492	854	879
493	856	876
494	857	874
495	858	872
496	859	870
497	861	868
498	862	865
499	863	863
500	865	862
501	867	860
502	868	858
503	869	855
504	871	853
505	872	851
506	873	849
507	874	847
508	876	845
509	877	842
510	878	840
511	880	839
512	882	837
513	883	835
514	884	833
515	886	831
516	887	829
517	888	826
518	889	824
519	891	822
520	892	820
521	893	818
522	895	816
523	896	814
524	898	812
525	899	810
526	900	808
527	902	806
528	903	804
529	904	802
530	906	800
531	907	798
532	908	796
533	912	796
534	913	794
535	915	792
536	916	790
537	917	788
538	918	785
539	920	783
540	921	781
541	922	779
542	924	777
543	925	775
544	928	775
545	930	773
546	931	771
547	932	769
548	934	767
549	935	765
550	936	763
551	937	761
552	939	759
553	940	757
554	942	755
555	943	753
556	945	751
557	946	749
558	947	747
559	949	745
560	950	743
561	951	741
562	953	739
563	954	738
564	956	736
565	958	735
566	959	733
567	961	731
568	962	729
569	963	727
570	964	724
571	966	722
572	967	720
573	969	719
574	970	717
575	972	715
576	974	714
577	976	712
578	977	710
579	978	708
580	979	706
581	981	704
582	982	702
583	983	700
584	985	698
585	986	696
586	987	694
587	989	693
588	991	691
589	992	689
590	993	687
591	994	685
592	996	683
593	997	681
594	998	679
595	1000	677
596	1001	675
597	1002	674
598	1003	672
599	1005	670
600	1007	668
601	1008	666
602	1009	664
603	1011	662
604	1012	660
605	1013	659
606	1014	657
607	1016	655
608	1017	653
609	1018	651
610	1020	649
611	1021	647
612	1022	645
613	1024	643
614	1025	642
615	1026	640
616	1028	638
617	1029	636
618	1030	634
619	1032	632
620	1033	630
621	1034	628
622	1036	627
623	1037	625
624	1039	623
625	1040	621
626	1041	619
627	1043	617
628	1044	615
629	1045	614
630	1046	612
631	1048	610
632	1049	608
633	1050	606
634	1052	605
635	1054	603
636	1055	601
637	1056	599
638	1058	597
639	1059	595
640	1060	594
641	1061	592
642	1063	590
643	1064	588
644	1065	586
645	1067	585
646	1069	583
647	1070	581
648	1071	579
649	1073	577
650	1074	575
651	1075	574
652	1076	572
653	1078	570
654	1079	568
655	1080	566
656	1081	564
657	1083	563
658	1085	561
659	1086	559
660	1087	557
661	1089	556
662	1090	554
663	1091	552
664	1092	550
665	1094	548
666	1095	546
667	1096	545
668	1098	543
669	1099	541
670	1101	539
671	1102	538
672	1103	536
673	1104	534
674	1106	532
675	1107	530
676	1108	528
677	1109	527
678	1111	525
679	1112	523
680	1114	522
681	1116	520
682	1119	519
683	1120	517
684	1122	516
685	1123	514
686	1124	512
687	1126	510
688	1127	508
689	1128	507
690	1131	505
691	1132	504
692	1134	502
693	1135	500
694	1136	498
695	1138	497
696	1139	495
697	1140	493
698	1142	491
699	1143	490
700	1146	488
701	1147	487
702	1148	485
703	1150	483
704	1151	481
705	1152	479
706	1153	478
707	1155	476
708	1156	474
709	1157	472
710	1159	471
711	1161	469
712	1162	467
713	1163	466
714	1165	464
715	1166	462
716	1167	460
717	1169	459
718	1170	457
719	1171	455
720	1172	453
721	1174	452
722	1175	450
723	1177	448
724	1178	447
725	1180	445
726	1181	443
727	1182	441
728	1183	440
729	1185	438
730	1186	436
731	1187	434
732	1189	433
733	1190	431
734	1192	429
735	1193	428
736	1194	426
737	1196	424
738	1197	422
739	1198	421
740	1199	419
741	1201	417
742	1202	415
743	1203	414
744	1205	412
745	1206	410
746	1208	409
747	1209	407
748	1211	405
749	1212	404
750	1213	402
751	1214	400
752	1216	398
753	1217	397
754	1219	395
755	1220	393
756	1221	392
757	1224	390
758	1225	389
759	1226	387
760	1228	385
761	1229	383
762	1230	382
763	1231	380
764	1233	378
765	1234	377
766	1235	375
767	1236	373
768	1238	371
769	1240	370
770	1241	368
771	1242	367
772	1244	365
773	1245	363
774	1246	361
775	1248	360
776	1249	358
777	1250	356
778	1251	355
779	1253	353
780	1255	352
781	1256	350
782	1258	348
783	1259	346
784	1260	345
785	1261	343
786	1263	341
787	1264	340
788	1265	338
789	1266	336
790	1268	335
791	1269	333
792	1271	331
793	1272	330
794	1273	328
795	1275	326
796	1276	325
797	1277	323
798	1279	321
799	1280	320
800	1281	318
801	1283	316
802	1284	315
803	1286	313
804	1287	311
805	1289	310
806	1290	308
807	1291	306
808	1293	305
809	1294	303
810	1295	301
811	1297	300
812	1298	298
813	1299	296
814	1301	295
815	1302	293
816	1304	292
817	1305	290
818	1306	288
819	1308	287
820	1309	285
821	1310	283
822	1311	282
823	1313	280
824	1314	278
825	1315	277
826	1317	275
827	1319	274
828	1320	272
829	1322	270
830	1323	269
831	1325	267
832	1326	265
833	1327	264
834	1329	262
835	1330	261
836	1331	259
837	1333	257
838	1335	256
839	1336	254
840	1337	252
841	1338	251
842	1340	249
843	1341	247
844	1342	246
845	1343	244
846	1345	242
847	1346	241
848	1348	239
849	1350	238
850	1351	236
851	1352	234
852	1354	233
853	1355	231
854	1356	230
855	1357	228
856	1359	226
857	1360	225
858	1361	223
859	1363	222
860	1365	220
861	1366	218
862	1367	217
863	1368	215
864	1370	213
865	1371	212
866	1372	210
867	1374	208
868	1375	207
869	1376	205
870	1377	204
871	1380	202
872	1381	200
873	1382	199
874	1383	197
875	1385	196
876	1386	194
877	1387	192
878	1389	191
879	1390	189
880	1391	187
881	1392	186
882	1394	184
883	1396	183
884	1397	181
885	1398	179
886	1399	178
887	1401	176
888	1402	175
889	1403	173
890	1405	171
891	1406	170
892	1407	168
893	1408	167
894	1410	165
895	1412	163
896	1413	162
897	1414	160
898	1416	159
899	1417	157
900	1418	155
901	1419	154
902	1421	152
903	1422	151
904	1423	149
905	1425	147
906	1426	146
907	1428	144
908	1429	143
909	1430	141
910	1432	139
911	1433	138
912	1434	136
913	1435	135
914	1437	133
915	1438	131
916	1439	130
917	1441	128
918	1442	127
919	1444	125
920	1445	123
921	1446	122
922	1448	120
923	1449	119
924	1450	117
925	1451	116
926	1453	114
927	1454	112
928	1455	111
929	1457	109
930	1459	108
931	1460	106
932	1461	104
933	1462	103
934	1464	101
935	1465	100
936	1466	98
937	1468	97
938	1469	95
939	1470	93
940	1472	92
941	1473	90
942	1475	89
943	1476	87
944	1477	86
945	1479	84
946	1480	82
947	1481	81
948	1482	79
949	1484	78
950	1485	76
951	1486	74
952	1488	73
953	1489	71
954	1491	70
955	1492	68
956	1493	67
957	1495	65
958	1496	63
959	1497	62
960	1499	60
961	1500	59
962	1501	57
963	1502	56
964	1504	54
965	1506	53
966	1507	51
967	1508	49
968	1509	48
969	1511	46
970	1513	45
971	1514	43
972	1515	42
973	1516	40
974	1518	38
975	1520	37
976	1521	35
977	1522	34
978	1524	32
979	1526	31
980	1527	29
981	1529	28
982	1530	26
983	1531	24
984	1533	23
985	1535	21
986	1536	20
987	1537	18
988	1539	17
989	1540	15
990	1541	14
991	1543	12
992	1544	10
993	1545	9
994	1546	7
995	1548	6
996	1549	4
997	1551	3
998	1552	1
999	1553	0
