iter	RMSE
0	147.2183282
1	142.6765348
2	138.5003394
3	134.7105636
4	131.3824849
5	128.1360787
6	125.1316319
7	122.4482387
8	119.8914418
9	117.7909815
10	115.5735991
11	113.5923126
12	111.7483455
13	110.4296114
14	108.8302225
15	107.4055521
16	106.1678184
17	105.1774026
18	104.0717883
19	102.8285166
20	101.728852
21	100.9224946
22	100.1402562
23	99.3708912
24	98.73388997
25	97.96416923
26	97.37986012
27	96.81692012
28	96.40107769
29	95.887399
30	95.56885133
31	95.08255183
32	94.64459671
33	94.31096725
34	93.84552018
35	93.59281331
36	93.20644576
37	93.00773027
38	92.65028049
39	92.36414008
40	92.0723265
41	91.9319618
42	91.71174684
43	91.39870244
44	91.22751287
45	91.05074257
46	90.92529164
47	90.77948814
48	90.67999935
49	90.54346348
50	90.33788811
51	90.22810851
52	90.1354222
53	90.02005115
54	89.92992285
55	89.83129089
56	89.69008441
57	89.57521886
58	89.47114939
59	89.37881483
60	89.28898624
61	89.1748721
62	89.08789527
63	89.00576734
64	88.93591072
65	88.84827512
66	88.76569407
67	88.71653237
68	88.61007833
69	88.54741619
70	88.47985139
71	88.43248861
72	88.40322891
73	88.33325975
74	88.28695011
75	88.24570954
76	88.19886955
77	88.17743954
78	88.12382671
79	88.0954424
80	88.02551147
81	87.98966534
82	87.95314514
83	87.91012162
84	87.87266984
85	87.85574295
86	87.80850951
87	87.76476266
88	87.72056252
89	87.68503762
90	87.67001637
91	87.63144058
92	87.61264805
93	87.57377987
94	87.55495136
95	87.51352819
96	87.47894981
97	87.46420673
98	87.42558173
99	87.39567404
100	87.37567824
101	87.33893172
102	87.32348524
103	87.29921301
104	87.26083346
105	87.23193837
106	87.20837625
107	87.19590927
108	87.17922462
109	87.13281232
110	87.11197479
111	87.07469587
112	87.05532645
113	87.01280502
114	86.99833288
115	86.97289112
116	86.9486515
117	86.91760147
118	86.89871385
119	86.88726513
120	86.87780014
121	86.8720466
122	86.84042324
123	86.82752246
124	86.80731161
125	86.79051753
126	86.74368855
127	86.71690091
128	86.69843496
129	86.67850811
130	86.66916041
131	86.66426569
132	86.66093201
133	86.65349924
134	86.62362909
135	86.62057214
136	86.61002528
137	86.59144734
138	86.58125504
139	86.5663645
140	86.53400597
141	86.51587107
142	86.49798119
143	86.48848399
144	86.4675502
145	86.46422934
146	86.45674308
147	86.43051159
148	86.41472101
149	86.36248066
150	86.33735633
151	86.31360295
152	86.30364377
153	86.29306043
154	86.27466922
155	86.26447151
156	86.24001292
157	86.23187321
158	86.22131664
159	86.21447229
160	86.191521
161	86.18883971
162	86.1247558
163	86.1162074
164	86.10068649
165	86.05910112
166	86.03937624
167	86.01809667
168	85.99236872
169	85.96923293
170	85.94360192
171	85.92790977
172	85.8927673
173	85.88086931
174	85.83249747
175	85.81284724
176	85.77776155
177	85.77284447
178	85.76133564
179	85.73673406
180	85.73183422
181	85.72488503
182	85.71873826
183	85.68594714
184	85.6811318
185	85.67528211
186	85.65400353
187	85.64012122
188	85.60669113
189	85.58668969
190	85.58482144
191	85.57736031
192	85.56424244
193	85.55609027
